date,CPI_YOY,GDP,M0,M1,M2,PMI,SHIBOR_1M,SHIBOR_1W,SHIBOR_ON
2009-12-01,1.9,340903.0,38246.97,221445.81,610224.52,,,,
2010-01-01,1.5,,40758.58,229588.98,625609.29,,,,
2010-02-01,2.7,,42865.79,224286.95,636072.26,,,,
2010-03-01,2.4,82613.4,39080.58,229397.93,649947.46,,,,
2010-04-01,2.8,,39657.54,233909.76,656561.22,,,,
2010-05-01,3.1,,38652.97,236497.88,663351.37,,,,
2010-06-01,2.9,174878.8,38904.85,240580.0,673921.72,,,,
2010-07-01,3.3,,39543.16,240664.07,674051.48,,,,
2010-08-01,3.5,,39922.76,244340.64,687506.92,,,,
2010-09-01,3.6,272626.7,41854.41,243821.9,696471.5,,,,
2010-10-01,4.4,,41646.21,253313.17,699776.74,,,,
2010-11-01,5.1,,42252.16,259420.32,710339.03,,,,
2010-12-01,4.6,401512.8,44628.17,266621.54,725851.79,,,,
2011-01-01,4.9,,58063.94,261765.01,733884.83,,,,
2011-02-01,4.9,,47270.24,259200.5,736130.86,,,,
2011-03-01,5.4,97101.2,44845.22,266255.48,758130.88,,,,
2011-04-01,5.3,,45489.03,266766.91,757384.56,,,,
2011-05-01,5.5,,44602.83,269289.63,763409.22,,,,
2011-06-01,6.4,205775.4,44477.8,274662.57,780820.85,,,,
2011-07-01,6.5,,45183.1,270545.65,772923.65,,,,
2011-08-01,6.2,,45775.29,273393.77,780852.3,,,,
2011-09-01,6.1,321219.1,47145.29,267193.16,787406.2,,,,
2011-10-01,5.5,,46579.39,276552.67,816829.25,,,,
2011-11-01,4.2,,47317.26,281416.37,825493.94,,,,
2011-12-01,4.1,472882.0,50748.46,289847.7,851590.9,,,,
2012-01-01,4.5,,59820.72,270010.4,855898.89,,,,
2012-02-01,3.2,,51448.78,270312.11,867171.42,,,,
2012-03-01,3.6,117357.6,49595.74,277998.11,895565.5,,,,
2012-04-01,3.4,,50199.32,274983.82,889604.04,,,,
2012-05-01,3.0,,49039.72,278656.31,900048.77,,,,
2012-06-01,2.2,248678.3,49284.64,287526.17,924991.2,,,,
2012-07-01,1.8,,49705.85,283090.68,919072.4,,,,
2012-08-01,2.0,,50235.06,285739.27,924894.59,,,,
2012-09-01,1.9,386767.9,53433.49,286788.21,943688.75,,,,
2012-10-01,1.7,,51467.71,293309.78,936404.28,,,,
2012-11-01,2.0,,52392.12,296883.0,944832.4,,,,
2012-12-01,2.5,538580.0,54659.77,308664.23,974148.8,,,,
2013-01-01,2.0,,62449.63,311228.55,992129.25,,,,
2013-02-01,3.2,,60313.65,296103.24,998600.83,,,,
2013-03-01,2.1,129449.6,55460.52,310898.29,1035858.37,,,,
2013-04-01,2.4,,55607.15,307648.42,1032551.9,,,,
2013-05-01,2.1,,54431.39,310204.48,1042169.16,,,,
2013-06-01,2.7,272968.2,54063.91,313499.82,1054403.69,,,,
2013-07-01,2.7,,54412.78,310596.46,1052212.34,,,,
2013-08-01,2.6,,54925.35,314085.91,1061256.43,,,,
2013-09-01,3.1,425190.9,56492.53,312330.34,1077379.16,,,,
2013-10-01,3.2,,55595.72,319509.38,1070242.17,,,,
2013-11-01,3.0,,56441.27,324821.92,1079257.05,,,,
2013-12-01,2.5,592963.2,58574.44,337291.05,1106524.98,,,,
2014-01-01,2.5,,76488.6,314900.55,1123521.21,,,,
2014-02-01,2.0,,62320.95,316625.11,1131760.83,,,,
2014-03-01,2.4,140270.2,58329.3,327683.74,1160687.38,,,,
2014-04-01,1.8,,58615.54,324482.52,1168812.67,,,,
